STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2018,,174.908,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2017,,138.422,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2007,,67.796,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2005,,33.863,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2022,,178.902,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2011,,139.885,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2010,,129.131,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2009,,89.397,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2008,,76.258,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2003,,21.543,,6,Millions
