STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2015,,405.19,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2018,,19923.668,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2018,,405.801,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2001,,72.699,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2001,,10014.22,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2006,,14287.722,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2009,,18506.923,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2011,,448.573,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2019,,367.918,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2021,,337.732,,6,Millions
