typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","26782","true",,"false","27356858",,"27356858","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","71796","true",,"false","73335576",,"73335576","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","80977","true",,"false","82713695",,"82713695","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","8495","true",,"false","8677131",,"8677131","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","26040","true",,"false","26598552",,"26598552","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","699","IND","India","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","836","true",,"false","854057",,"854057","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","843","true",,"false","861485",,"861485","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","764","THA","Thailand","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","38733","true",,"false","39564304",,"39564304","4","true","false",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","27610.404","true","0","false","27598266",,"27598266","4","true","false",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","78313.175","true","0","false","78278746",,"78278746","4","true","false",
