STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,FINAL_DEMAND_AREA,Final demand area,FINAL_DEMAND_ACTIVITY,Final demand activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2015,,6550.514,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2021,,8843.354,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2021,,368944.69,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2019,,8544.032,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2019,,352506.807,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2018,,8283.593,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2018,,324076.251,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2022,,11334.688,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2022,,383004.661,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2020,,354203.78,,6,Millions
