typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","26574.233","true","0","false","27984695","0","27984695","6","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","25342.588","true","0","false","26687679","0","26687679","6","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","29549.149","true","0","false","32710428","32278967","32710428","6","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","24782.486","true","0","false","27433809","27307357","27433809","6","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","58766","false","5","u","58766","false","18742.988","true","0","false","21734101","0","21734101","4","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","25890","false","5","u","25890","false","11685.852","true","0","false","13550747","0","13550747","4","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","74187","false","5","u","74187","false","24365.724","true","0","false","28440710","0","28440710","4","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","30736","false","5","u","30736","false","16325.969","true","0","false","19056366","0","19056366","4","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","75790","false","5","u","75790","false","24157.24","true","0","false","29530294","29203953","29530294","4","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H6","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","63364","false","5","u","63364","false","11761.052","true","0","false","14376946","14245989","14376946","4","true","false",
