STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,OECD,OECD,_T,Total - All activities,USD,US dollar,A,Annual,2001,,4646.796,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,OECD,OECD,_T,Total - All activities,USD,US dollar,A,Annual,2010,,9071.698,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,OECD,OECD,_T,Total - All activities,USD,US dollar,A,Annual,2012,,10337.454,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2022,,698.079,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2002,,480.094,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,OECD,OECD,_T,Total - All activities,USD,US dollar,A,Annual,2004,,4499.059,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2006,,851.721,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2013,,941.412,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,OECD,OECD,_T,Total - All activities,USD,US dollar,A,Annual,2013,,11966.55,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2018,,807.038,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,OECD,OECD,_T,Total - All activities,USD,US dollar,A,Annual,2018,,10610.24,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,OECD,OECD,_T,Total - All activities,USD,US dollar,A,Annual,2019,,10005.001,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2007,,986.322,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2008,,1102.973,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2010,,817.084,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2000,,586.476,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2001,,553.708,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2003,,450.09,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,WXOECD,Non-OECD economies,_T,Total - All activities,USD,US dollar,A,Annual,2009,,741.849,,6,Millions
