STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2020,,21562.116,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2021,,1176.59,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2021,,24451.991,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2015,,27479.21,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2017,,1069.802,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2017,,25680.004,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2022,,1482.554,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2022,,28997.434,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2022,,2345.494,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2022,,28001.829,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2017,,2253.904,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2017,,29637.743,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2018,,2243.51,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2018,,30064.249,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2020,,1786.503,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2016,,2289.077,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2016,,28253.153,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2016,,951.146,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2016,,26628.926,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2019,,2149.172,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2019,,28807.175,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2019,,26893.576,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2020,,23114.508,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2021,,1894.392,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2021,,26508.26,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2015,,1013.598,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2015,,2381.514,,6,Millions
