STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2020,,414.449,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2019,,7890.075,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2019,,510.33,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2017,,8672.559,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2017,,537.458,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2015,,615.763,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2022,,6782.135,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2021,,5775.705,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,OECD,OECD,J61,Telecommunications,USD,US dollar,A,Annual,2016,,9188.452,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,_T,Total - All activities,WXOECD,Non-OECD economies,J61,Telecommunications,USD,US dollar,A,Annual,2016,,545.617,,6,Millions
