STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,FINAL_DEMAND_AREA,Final demand area,FINAL_DEMAND_ACTIVITY,Final demand activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,322460.582,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W_O,Other countries,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,3000.718,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,S2_S8,Eastern and South-eastern Asia,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,8436.154,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,THA,Thailand,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,310.975,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,UKR,Ukraine,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,9.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,ZAF,South Africa,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,216.432,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,SVN,Slovenia,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,13.309,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHE,Switzerland,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,479.73,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,MMR,Myanmar,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,6.401,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,IND,India,J61,Telecommunications,USA,United States,_T,Total - All activities,USD,US dollar,A,Annual,2022,,775.781,,6,Millions
