STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,FINAL_DEMAND_AREA,Final demand area,FINAL_DEMAND_ACTIVITY,Final demand activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,THA,Thailand,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,3951.42,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,SGP,Singapore,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,1714.716,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,STP,Sao Tome and Principe,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,8.132,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,MLT,Malta,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,126.809,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,PAK,Pakistan,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,5342.615,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,NGA,Nigeria,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,23948.364,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,HKG,Hong Kong (China),J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,3721.036,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,KAZ,Kazakhstan,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,1798.117,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,IDN,Indonesia,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,21445.006,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CIV,Côte d’Ivoire,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,754.105,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CMR,Cameroon,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,279.562,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,BRA,Brazil,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,10658.377,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,BGR,Bulgaria,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,782.285,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,THA,Thailand,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,3620.952,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,ARE,United Arab Emirates,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,4304.969,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,HKG,Hong Kong (China),J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,3806.626,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,COD,Democratic Republic of the Congo,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,337.174,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,SVN,Slovenia,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,418.639,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,PRT,Portugal,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,1716.394,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,NOR,Norway,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,2136.219,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,MEX,Mexico,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,10491.154,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,DNK,Denmark,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,1620.384,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,FIN,Finland,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,1360.059,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,BEL,Belgium,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,3570.972,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CAN,Canada,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,20610.592,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,AUT,Austria,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,2046.487,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,SGP,Singapore,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2020,,2063.826,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,VNM,Viet Nam,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2020,,2008.559,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,ARE,United Arab Emirates,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2020,,3644.702,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,SEN,Senegal,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2020,,517.308,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,RUS,Russia,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2020,,8317.352,,6,Millions
