STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,FINAL_DEMAND_AREA,Final demand area,FINAL_DEMAND_ACTIVITY,Final demand activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2016,,1075882.305,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2011,,1103060.958,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2003,,611661.602,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,1261693.372,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2012,,1120013.123,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2010,,1025312.498,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2005,,720865.95,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2000,,493269.879,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2014,,1157990.489,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,W,World,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2015,,1066639.701,,6,Millions
