STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,FINAL_DEMAND_AREA,Final demand area,FINAL_DEMAND_ACTIVITY,Final demand activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2022,,4060.078,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2018,,3071.493,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2015,,2289.285,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2002,,222.141,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2014,,2199.739,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2013,,1691.047,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2012,,1786.04,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2009,,1319.102,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2021,,3769.731,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2020,,3053.881,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2003,,448.046,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2017,,2392.182,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2008,,1133.967,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2006,,932.278,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2004,,589.335,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2019,,3034.388,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2016,,2292.125,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2011,,1827.536,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2010,,1842.868,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,CHN,China (People’s Republic of),_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2007,,1066.324,,6,Millions
