year,total_prc_va_bn,va_via_VIE_bn,va_via_MEX_bn,va_via_KOR_bn,va_via_IND_bn,va_via_JPN_bn,va_via_TAP_bn,va_via_CAN_bn,usa_domestic_va_bn,total_fd_bn,total_va_content_bn
2015,3.6452,0.0593,1.1588,1.0769,0.2567,1.2767,0.6303,2.127,290.903,308.0593,308.1377
2016,3.7056,0.0711,1.1404,1.1203,0.2818,1.4288,0.6406,2.1936,306.0891,324.2522,324.3326
2017,3.5796,0.0966,1.2466,0.867,0.5498,1.3597,0.5063,1.8809,290.4248,308.9091,308.981
2018,2.9693,0.0901,1.2827,0.9665,0.8535,1.2325,0.6112,1.7344,264.8407,284.3796,284.5027
2019,3.1072,0.1358,1.1888,0.8489,0.9178,1.2615,0.5158,3.3144,276.3349,298.6368,298.6508
2020,2.8473,0.1416,1.1392,1.0027,1.5862,1.2505,0.5852,2.2376,301.4598,323.6262,323.6565
2021,3.552,0.1271,1.2215,1.2445,1.1119,1.2923,0.8197,3.4673,317.9558,342.7201,342.7385
2022,3.1272,0.2572,1.3649,1.2119,2.0694,1.3147,0.8058,3.417,320.2876,350.4869,350.5188
2023,3.1037,0.3264,1.4219,1.0748,2.1022,1.3491,0.7779,3.2998,324.9602,353.8369,353.8441
2024,3.2867,0.346,1.0675,1.3404,1.9347,1.3869,1.1815,2.8888,329.7293,357.8559,357.8618
