STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,FINAL_DEMAND_AREA,Final demand area,FINAL_DEMAND_ACTIVITY,Final demand activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,395304.854,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,379175.127,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2014,,320617.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2011,,269019.462,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2008,,246842.958,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2005,,208941.189,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2002,,167830.261,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2003,,197281.351,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2017,,344866.572,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2013,,298331.847,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2006,,221894.616,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,_T,Total - All activities,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2000,,161556.596,,6,Millions
