STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2017,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2014,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2013,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2010,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2007,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2004,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2002,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2018,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2012,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2005,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2001,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2000,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2016,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2015,,0,,6,Millions
