STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,FINAL_DEMAND_AREA,Final demand area,FINAL_DEMAND_ACTIVITY,Final demand activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2014,,173994.787,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2009,,151372.404,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2006,,131602.235,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2022,,211185.838,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2020,,203351.654,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2012,,153274.867,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2011,,149697.599,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2010,,153947.593,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2003,,113120.453,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2021,,209091.307,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2018,,190910.174,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2007,,148096.531,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2005,,127947.28,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_FDVA@DF_FDVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in final demand,I,FDVA,Origin of value added in final demand,USA,United States,J61,Telecommunications,W,World,J61,Telecommunications,USD,US dollar,A,Annual,2004,,121176.825,,6,Millions
